"X","avg_stars","median_stars","std_stars","avg_cool","median_cool","std_cool","avg_useful","median_useful","std_useful","avg_funny","median_funny","std_funny","Take.out","Caters","Noise.Level","Delivery","Has.TV","Outdoor.Seating","Alcohol","Waiter.Service","Accepts.Credit.Cards","Good.for.Kids","Good.For.Groups","Price.Range","top10percent"
1,3.2,3,0.836660026534076,0.4,0,0.547722557505166,1.2,1,0.836660026534076,0.2,0,0.447213595499958,"True","False","average","False","True","False","full_bar","True","True","True","True",2,"0"
2,3.4,4,0.894427190999916,0.6,0,0.894427190999916,0.4,0,0.894427190999916,0.2,0,0.447213595499958,"True","False","average","False","False","True","beer_and_wine","False","True","True","True",1,"0"
3,3.6,4,1.14017542509914,1.2,1,1.09544511501033,1,1,1.22474487139159,0.4,0,0.894427190999916,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
4,4.2,5,1.78885438199983,0.2,0,0.447213595499958,3.6,1,6.38748776906852,1.8,3,1.6431676725155,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
5,4.8,5,0.447213595499958,4.4,2,4.50555213042752,5,4,3.67423461417477,1.8,1,2.94957624075052,"True","True","average","False","True","True","full_bar","True","True","True","True",1,"0"
6,4.2,5,1.09544511501033,5,0,10.0995049383621,7,3,11.379806676741,4.4,0,8.26438140455775,"True","False","average","False","True","True","full_bar","True","True","True","True",2,"0"
7,5,5,0,1.6,1,1.94935886896179,4.4,2,4.9295030175465,0.6,0,0.894427190999916,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
8,4.4,4,0.547722557505166,1,0,1.73205080756888,1.2,1,0.447213595499958,0.8,0,1.78885438199983,"False","False","average","False","False","False","full_bar","True","True","False","True",3,"0"
9,4.4,4,0.547722557505166,0.2,0,0.447213595499958,0.6,0,0.894427190999916,0.2,0,0.447213595499958,"True","True","average","False","True","True","beer_and_wine","True","True","True","True",2,"1"
10,4,4,0.707106781186548,0.4,0,0.547722557505166,1.2,1,1.30384048104053,0.2,0,0.447213595499958,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
11,2.6,1,2.19089023002066,0.8,0,1.78885438199983,1.2,1,1.6431676725155,1.2,0,2.68328157299975,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
12,4.2,4,0.447213595499958,1.2,1,1.09544511501033,2.6,2,0.894427190999916,1,1,1,"True","False","average","False","True","True","full_bar","True","True","True","True",2,"0"
13,3.8,4,1.30384048104053,0.4,0,0.894427190999916,0.8,0,1.30384048104053,0.4,0,0.894427190999916,"True","False","average","False","False","True","none","True","True","True","True",2,"0"
14,4.2,4,0.447213595499958,0.2,0,0.447213595499958,0.6,0,0.894427190999916,0.2,0,0.447213595499958,"True","False","loud","False","True","True","full_bar","True","True","True","True",2,"0"
15,4,4,1,0.8,0,1.78885438199983,1,0,1.73205080756888,0.2,0,0.447213595499958,"True","False","very_loud","False","True","True","full_bar","True","True","False","True",2,"0"
16,3.8,4,0.447213595499958,0.4,0,0.547722557505166,1,1,0.707106781186548,0.2,0,0.447213595499958,"True","False","average","False","True","False","full_bar","True","True","False","True",2,"0"
17,3.8,4,0.447213595499958,1.8,1,1.78885438199983,3.2,3,3.11448230047949,0.6,0,0.894427190999916,"True","True","average","False","False","True","full_bar","False","True","True","True",2,"0"
18,4.4,5,0.894427190999916,0.8,1,0.836660026534076,2.4,2,1.51657508881031,0.2,0,0.447213595499958,"True","False","average","False","False","True","beer_and_wine","False","True","True","True",2,"0"
19,1.4,1,0.894427190999916,0.4,0,0.547722557505166,0.6,0,0.894427190999916,0.4,0,0.547722557505166,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
20,4,5,1.73205080756888,3.4,2,3.64691650576209,3.6,2,3.43511280746353,2.8,2,3.70135110466435,"True","True","average","False","True","True","none","True","True","True","True",1,"0"
21,4.6,5,0.547722557505166,0.6,1,0.547722557505166,1,1,0.707106781186548,0,0,0,"True","True","average","False","True","True","full_bar","True","True","True","True",1,"0"
22,4.2,5,1.30384048104053,1,0,1.73205080756888,3,2,4.12310562561766,0.6,0,0.894427190999916,"True","True","average","False","True","False","none","True","True","True","True",2,"0"
23,4,5,1.4142135623731,0.6,0,0.894427190999916,0.8,1,0.836660026534076,1,1,1,"True","False","average","False","False","False","none","True","True","True","True",1,"0"
24,3.2,2,1.6431676725155,0,0,0,0.2,0,0.447213595499958,0.2,0,0.447213595499958,"True","False","quiet","False","False","False","none","True","True","True","True",1,"0"
25,4.8,5,0.447213595499958,0.6,0,0.894427190999916,1,1,1,0.6,0,0.894427190999916,"True","True","average","False","True","False","beer_and_wine","True","True","True","False",2,"0"
26,4,4,1,0.6,0,0.894427190999916,0.2,0,0.447213595499958,0.6,0,0.894427190999916,"True","False","average","False","True","True","full_bar","True","True","True","True",2,"0"
27,3.6,4,0.547722557505166,2.2,1,2.77488738510232,2.6,2,2.70185121722126,4,3,3.53553390593274,"True","True","average","False","True","True","full_bar","True","True","False","True",2,"0"
28,4.2,4,0.447213595499958,0.6,1,0.547722557505166,0.8,1,0.836660026534076,0.4,0,0.547722557505166,"True","True","average","False","True","False","full_bar","True","True","True","True",2,"0"
29,3.6,4,1.67332005306815,2.2,3,1.6431676725155,2.2,3,1.6431676725155,2,1,1.73205080756888,"True","True","average","False","False","False","full_bar","True","True","True","True",2,"0"
30,4,4,0.707106781186548,0.4,0,0.547722557505166,2,1,1.73205080756888,0.4,0,0.547722557505166,"True","True","quiet","True","True","False","none","False","True","True","False",1,"0"
31,4.8,5,0.447213595499958,0.6,0,1.34164078649987,3.2,3,1.92353840616713,0.6,0,0.894427190999916,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
32,3.8,4,0.836660026534076,1,0,1.4142135623731,1.8,2,0.447213595499958,0.8,0,1.30384048104053,"True","True","loud","True","True","True","full_bar","True","True","True","True",2,"0"
33,4.4,5,0.894427190999916,1.2,1,0.836660026534076,0.8,1,0.836660026534076,0.6,0,0.894427190999916,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
34,4.8,5,0.447213595499958,0.2,0,0.447213595499958,2,2,1.22474487139159,0.2,0,0.447213595499958,"True","False","average","False","True","True","full_bar","True","True","False","True",3,"0"
35,4,4,1.22474487139159,0.4,0,0.894427190999916,1.2,1,1.30384048104053,0.4,0,0.894427190999916,"True","True","average","True","True","False","beer_and_wine","True","True","True","True",2,"0"
36,1,1,0,0,0,0,3.4,2,3.78153408023781,0,0,0,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
37,4.4,5,0.894427190999916,2.8,2,1.92353840616713,4.4,3,3.04959013639538,2,2,1.22474487139159,"True","False","average","False","False","False","none","True","True","True","True",1,"0"
38,4.6,5,0.547722557505166,1.2,0,1.78885438199983,1.2,1,1.30384048104053,0.2,0,0.447213595499958,"True","False","average","False","True","True","beer_and_wine","True","True","True","True",2,"1"
39,3.8,4,0.447213595499958,1,1,0.707106781186548,0.8,1,0.447213595499958,0,0,0,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
40,4.2,4,0.447213595499958,3,3,2.73861278752583,2.4,2,2.19089023002066,1.8,2,1.48323969741913,"True","False","average","False","False","True","none","False","True","True","True",1,"0"
41,4.4,4,0.547722557505166,0.6,0,0.894427190999916,1.2,0,2.16794833886788,1,1,1,"True","False","average","False","True","False","full_bar","True","True","True","True",2,"0"
42,4,4,0,4.8,2,5.76194411635517,4.2,5,3.96232255123179,2.8,3,2.38746727726266,"True","True","average","False","True","False","full_bar","True","True","True","True",2,"0"
43,4.8,5,0.447213595499958,2.8,2,3.03315017762062,2.6,2,3.13049516849971,1.4,1,1.51657508881031,"False","False","loud","False","True","True","full_bar","True","True","False","True",1,"0"
44,4.6,5,0.894427190999916,0.2,0,0.447213595499958,1.2,1,1.30384048104053,0.2,0,0.447213595499958,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
45,4,4,0.707106781186548,1.2,1,1.6431676725155,1,0,1.4142135623731,0.4,0,0.547722557505166,"True","True","average","False","False","True","beer_and_wine","False","True","True","True",1,"0"
46,4,5,1.73205080756888,2.4,0,4.82700735445887,4.2,2,7.22495674727538,2.2,1,2.94957624075052,"False","False","average","False","True","True","full_bar","True","True","False","True",3,"0"
47,4.2,4,0.447213595499958,1,0,1.4142135623731,1.2,0,2.16794833886788,0.6,0,1.34164078649987,"False","False","average","False","False","False","full_bar","True","True","False","True",3,"0"
48,4.6,5,0.547722557505166,2.4,2,2.30217288664427,3.2,2,4.43846820423443,0.8,1,0.836660026534076,"True","True","average","False","True","True","none","False","True","True","True",1,"0"
